b_values,convergence_points
2.50,0.60000000
2.51,0.60159363
2.52,0.60317460
2.53,0.60474308
2.54,0.60629921
2.55,0.60784314
2.56,0.60937500
2.57,0.61089494
2.58,0.61240310
2.59,0.61389961
2.60,0.61538462
2.61,0.61685824
2.62,0.61832061
2.63,0.61977186
2.64,0.62121212
2.65,0.62264151
2.66,0.62406015
2.67,0.62546816
2.68,0.62686567
2.69,0.62825279
2.70,0.62962963
2.71,0.63099631
2.72,0.63235294
2.73,0.63369963
2.74,0.63503650
2.75,0.63636364
2.76,0.63768116
2.77,0.63898917
2.78,0.64028777
2.79,0.64157706
2.80,0.64285714
2.81,0.64412811
2.82,0.64539007
2.83,0.64664311
2.84,0.64788733
2.85,0.64912281
2.86,0.65034967
2.87,0.65156800
2.88,0.65277795
2.89,0.65397977
2.90,0.65517402
2.91,0.65636219
2.92,0.65754839
2.93,0.65874394
2.94,0.65997966
2.95,0.66133688
2.96,0.66302098
2.97,0.66551322
2.98,0.66978849
2.99,0.67724614
3.00,0.68839429
2.93,0.65865912
2.93,0.65874394
2.94,0.65974080
2.94,0.65997966
2.95,0.66067983
2.95,0.66133688
2.96,0.66126508
2.96,0.66302098
2.97,0.66100147
2.97,0.66551322
2.98,0.65886712
2.98,0.66978849
2.99,0.65328494
2.99,0.67724614
3.00,0.64330121
3.00,0.68839429
3.01,0.63063154
3.01,0.70113556
3.02,0.61830902
3.02,0.71272899
3.03,0.60760308
3.03,0.72241738
3.04,0.59835252
3.04,0.73059341
3.05,0.59016364
3.05,0.73770508
3.06,0.58275186
3.06,0.74404552
3.07,0.57593481
3.07,0.74979809
3.08,0.56959184
3.08,0.75508349
3.09,0.56363876
3.09,0.75998583
3.10,0.55801413
3.10,0.76456652
3.11,0.55267141
3.11,0.76887200
3.12,0.54757439
3.12,0.77293843
3.13,0.54269415
3.13,0.77679467
3.14,0.53800722
3.14,0.78046412
3.15,0.53349418
3.15,0.78396614
3.16,0.52913875
3.16,0.78731695
3.17,0.52492713
3.17,0.79053028
3.18,0.52084749
3.18,0.79361791
3.19,0.51688960
3.19,0.79659003
3.20,0.51304451
3.20,0.79945549
3.21,0.50930437
3.21,0.80222211
3.22,0.50566224
3.22,0.80489676
3.23,0.50211193
3.23,0.80748559
3.24,0.49864790
3.24,0.80999408
3.25,0.49526517
3.25,0.81242714
3.26,0.49195924
3.26,0.81478923
3.27,0.48872602
3.27,0.81708437
3.28,0.48556180
3.28,0.81931625
3.29,0.48246318
3.29,0.82148819
3.30,0.47942702
3.30,0.82360328
3.31,0.47645047
3.31,0.82566434
3.32,0.47353086
3.32,0.82767396
3.33,0.47066576
3.33,0.82963454
3.34,0.46785288
3.34,0.83154832
3.35,0.46509011
3.35,0.83341735
3.36,0.46237548
3.36,0.83524357
3.37,0.45970715
3.37,0.83702876
3.38,0.45708339
3.38,0.83877460
3.39,0.45450260
3.39,0.84048265
3.40,0.45196327
3.40,0.84215441
3.41,0.44946451
3.41,0.84379142
3.42,0.44699070
3.42,0.84538985
3.42,0.44701402
3.42,0.84539830
3.43,0.44440243
3.43,0.84689756
3.43,0.44474094
3.43,0.84702628
3.44,0.44025481
3.44,0.84772096
3.44,0.44407005
3.44,0.84923913
3.45,0.42836567
3.45,0.84479640
3.45,0.45234827
3.45,0.85466613
3.46,0.41321514
3.46,0.83894063
3.46,0.46751261
3.46,0.86134821
3.47,0.40291364
3.47,0.83479261
3.47,0.47856126
3.47,0.86590512
3.48,0.39506450
3.48,0.83168012
3.48,0.48715928
3.48,0.86942620
3.49,0.38852053
3.49,0.82912743
3.49,0.49444623
3.49,0.87239235
3.50,0.38281968
3.50,0.82694071
3.50,0.50088421
3.50,0.87499726

